gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
10884,448,1407.71245114198,1393.47741131112,1276.62709409773,85.5364756172612,1276.62709409773,1648.52988638484,0.569722935334783,2.46512004475418
10894,846,2241.75959828634,2231.69199464732,1399.07431613034,265.335535782821,1399.07431613034,3004.24100873988,0.273385115700274,2.82754595988637
10903,3172,46337.6928873457,45929.1130135502,18309.4595038606,16206.7574965052,18309.4595038606,94098.9790942951,0.269589858331263,2.84441112963914
10920,3311,43251.9148410723,41358.562837225,22639.6657425693,10095.0938383429,22639.6657425693,63597.2220426554,0.0997351643082284,2.23888034542012
10983,4586,67458.4197009711,65034.2530689147,24630.9484483678,23953.3402142806,24630.9484483678,128043.744863893,0.164410689620105,2.29639051087225
10984,1609,41310.4433398079,40164.9363459435,31470.8820654011,4305.63565624807,31470.8820654011,52657.6193897328,0.554443588725714,2.2547902511136
11017,1755,1558.02425007025,1582.68421173514,1040.72083468253,185.275511405663,1040.72083468253,2000.13657887771,-0.377851724464984,2.68518779887541
11032,2053,4311.92966056335,3425.49006624105,1726.61535953124,2241.53534905294,1726.61535953124,9801.61108335052,0.79915600541495,2.41620415666903
11060,4731,10133.799237288,6862.16735157173,2309.88758702204,6194.97011897066,2309.88758702204,24161.0363233013,0.464624043305359,1.76147256966918
11096,1513,5186.81925623626,5821.66925774878,2262.2443492963,1758.22714620054,2262.2443492963,7745.341695478,-0.314484333516329,1.61349373191359
11217,1589,24493.9238456936,23415.280349468,13247.5053436667,6242.6609856046,13247.5053436667,39363.0949349487,0.13342127096795,1.78316706010856
11220,2162,10473.6483843592,11598.9831617245,4814.01635603021,2473.12941795914,4814.01635603021,15386.9471405809,-0.850444890222392,2.49800481892036
11259,4199,195851.110236657,193773.220200018,152985.375200235,21078.4698362247,152985.375200235,272724.04796743,0.323795898882591,2.7922951966281
11264,296,27957.4514968958,28069.4551280594,22511.5496839389,2358.57920834993,22511.5496839389,32856.0391056752,-0.437338529414878,2.44344071629912
11340,729,2575.13432651465,2591.25119664577,1912.57493242141,360.847844413134,1912.57493242141,3270.65797652026,-0.0983714816760687,1.95908312574997
11446,3243,5969.35911996193,5963.08919042486,3352.05560927782,838.622638634925,3352.05560927782,8113.46456910504,-0.372123484107505,3.07061468159624
11456,4845,13641.7064772892,13874.6032491029,5803.18823363331,2724.9352131027,5803.18823363331,19101.5371503783,-0.356489799142484,2.45353942531197
11465,4846,10811.0291929136,10332.1142976805,4979.38957689874,3504.87235356415,4979.38957689874,18130.3203994119,0.110338466096805,1.80394021356059
11506,4819,20661.3133941615,19792.1816478625,9670.93739818504,5702.04520885591,9670.93739818504,37346.2289441341,0.546681080668618,2.59353242952736
11535,756,1456.68127289367,1476.95362173515,919.565492468707,398.790748801689,787.450676191557,2211.98207328056,-0.00353316296300262,1.64850465720565
11550,1630,7913.99320817041,8143.65489333789,5612.46517789936,1048.00759887935,5612.46517789936,10206.7421413936,-0.113388137728482,1.92397694252242
11554,1305,4779.36530387049,4733.07527263963,4143.92677226878,304.7984266804,4143.92677226878,5768.59762537718,0.778825445840252,3.27433527054232
11600,1648,938.834309372907,958.14924525348,548.547809581638,129.188068677684,548.547809581638,1273.20523318739,-0.390919760805283,2.80362130340865
11636,707,13509.106752151,13991.5914556647,10431.6771263336,2033.60448664188,10431.6771263336,17548.9152005445,0.117520586926038,1.67427053678249
11672,3449,13360.3997167259,9970.47567089194,5772.31917017491,6954.09968751865,5772.31917017491,30285.7689102222,0.896116854384431,2.31097645484789
11729,1346,9156.62848641612,9643.31994642821,11052.0066734554,1304.033724477,6480.72982155659,11584.3192101802,-0.497325951511583,1.80211921455728
11749,2887,5061.76670234995,5164.55835191852,1691.23110304069,1965.22275749392,1691.23110304069,8795.66953095973,0.0660120299974662,1.7965584376931
11923,3674,22943.9107395144,25125.1043858365,7912.36108083677,9739.92547884101,7912.36108083677,42034.4194001173,-0.0740086362416178,1.57638691785073
12124,4872,688866.22053287,696873.584597164,416726.703294732,132370.894466561,416726.703294732,1040127.23889708,0.454401384292804,3.36817144604336
12141,3818,263689.96257754,172229.36481221,122792.865107267,186728.105482803,89018.7741637672,1008577.1241875,1.84883323283294,5.86578424066879
12142,3610,94010.3687449455,95336.0985251146,85195.7012825448,26762.5471234146,34201.9291082282,146119.637365907,-0.121251001097789,2.04219125654533
12338,1243,3328.19261083421,3442.82033234809,1908.01659350493,645.836940779306,1908.01659350493,4661.48782804328,-0.13543386937831,2.19024628968635
12368,3146,10632.5387902678,11022.2778268508,4657.24263001107,2789.69360870894,4657.24263001107,17756.3530786386,0.0678289305320375,2.66784758998476
12383,1619,10570.3932360912,11936.7573233362,4444.63789335966,3468.08683880889,4444.63789335966,16372.0558640148,-0.301851018281837,1.55464107059429
12384,1802,304344.240095065,302868.598006718,226053.695108342,32187.7052340321,226053.695108342,379759.125496453,0.193415785843046,2.36554700066936
12389,820,8232.01649154958,8321.31713506136,5358.16918644771,1413.14932772326,5358.16918644771,10785.7064027598,-0.2817478868813,1.82027068293332
12395,914,2789.91632066813,2791.62943031739,1918.69215658932,309.493056917681,1918.69215658932,3494.93474132543,0.00170939258793415,1.98690652048138
12459,754,1235.83383193073,1110.30167795016,611.258922256362,368.526021989543,611.258922256362,2030.52628743083,0.432022239640013,1.94546820028944
12589,1140,3264.33315884335,3158.67719508897,1806.42414112135,597.22162096288,1806.42414112135,6631.24826946431,1.13646763198328,5.3501739876641
12689,2569,2476.94177167691,1893.99897789448,1038.51479906026,1190.9555991229,1038.51479906026,5575.09314103116,0.764147941817547,2.31139351115897
12726,3371,29261.5553765312,29396.3816148353,22724.4589997172,2130.33982753249,22724.4589997172,34843.4436153418,-0.069669997225232,3.07837305673325
12785,831,1901.281254552,1844.04649512106,1060.94149674446,371.153238835685,1060.94149674446,2638.54458384984,0.139175035313446,1.95761918079843
12884,423,3175.96298282089,3131.09764793499,2220.91034056829,394.379546277727,2220.91034056829,3949.15742061104,0.0238394221328327,2.20585220152101
12886,1290,54141.9637954549,54680.6309604238,40815.8616088997,8040.23901684376,40815.8616088997,71474.5305930041,0.25710196808335,1.94583341935532
13125,1658,9105.42208528244,10387.7994451424,4164.68874296379,2651.73551129333,4164.68874296379,13830.0625398113,-0.175691081485008,1.44017493189678
13145,4794,28207.8272506304,25386.8921016638,11127.3966843771,9651.42320615857,11127.3966843771,57775.5799170382,0.797389081321541,2.89018253279265
13312,443,113298.160151802,114871.470100887,74899.4017602198,9505.10727771393,74899.4017602198,134161.602167715,-1.41123230044732,5.61352656612967
13380,1797,1620.34440567855,1780.04996581034,643.136449009221,457.139082621172,643.136449009221,2642.41522157798,-0.388877173331822,1.90509743530975
13421,573,3663.36296529172,3373.16880900959,2679.50966170225,697.60963560046,2679.50966170225,5055.02449401579,0.454490914829435,1.58844800343951
13440,716,5506.25442051397,5315.79593135851,3763.94240149095,1424.07139523094,3763.94240149095,9532.31045495647,0.616392480219642,2.45336240139996
13498,4872,23628.0915042456,23700.1214366488,8982.83308417904,5677.68367199135,8982.83308417904,35038.9635782773,-0.500668773528775,2.75543831036132
13510,334,3167.34693873097,3190.6596684099,2135.53587999609,314.074726168808,2135.53587999609,3685.22553005566,-0.844486280600573,3.75030773785907
13561,4666,11595.356581758,11253.1030448443,4368.24869708195,5739.07857486131,3434.11685759188,26801.676985985,0.224179535454846,2.12072732670705
13683,4872,142040.368207054,115952.717563877,53605.037686477,75218.2412628036,53605.037686477,357067.946261786,0.955593222927211,2.79193153762052
13709,175,6713.2715608571,6395.30822761541,5031.51568408122,839.699007278113,5031.51568408122,7997.07585713667,0.0118122070334059,1.56428046709233
13714,1077,16416.5605143584,16805.5608550624,8514.24640895628,4614.05394805055,8514.24640895628,23584.8531589063,-0.102696723958227,1.50578027913687
13971,1197,1380.27910613046,1436.59669217909,683.691024400595,258.404427467357,683.691024400595,1884.23854755965,-0.81006310831632,2.92039361312121
13988,2239,42895.4781713229,39962.0729237077,29959.6240731758,9475.62281597968,29959.6240731758,69931.36533216,1.28476185378817,3.72071469470331
13994,1591,12795.1555227019,13526.678258482,3617.07346869937,4736.64031396275,3617.07346869937,23446.8302792908,-0.186237262138822,2.38587819413572
14065,545,1820.94697116897,1879.5955700915,1312.86779136377,178.226540558188,1312.86779136377,2103.01204367924,-1.06512323535436,3.17891429262085
14078,1643,21458.0891226238,21485.6234131899,18345.9066084544,1765.57825026892,18345.9066084544,27211.4992964273,0.634375835980178,3.38737468782122
14087,985,96176.7888959798,94343.354771941,48206.1093727738,28497.7929777569,48206.1093727738,167238.648976876,0.278853946504358,2.03972479985621
14163,1084,2130.54237321145,1789.37117832595,834.016481750954,711.717641660745,834.016481750954,4104.99686150785,1.4842795295308,4.1409264011641
