datadate,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
2014-01-09,280,63033.6544001039,19124.3421610391,843.228542936123,202679.382380979,843.228542936123,2482714.71216251,8.63713996360336,91.2211821277985
2014-01-10,280,63020.8147925254,19042.2928810432,842.680039614376,202610.114140967,842.680039614376,2482610.03034827,8.63866715862406,91.2626581305205
2014-01-13,280,63007.8194809273,18891.6425366465,843.222624660042,202630.866062949,843.222624660042,2483287.77361471,8.64055309830843,91.299082770101
2014-01-14,281,62848.3353459442,18727.8523580231,843.802274407706,202330.428766485,843.802274407706,2485226.41641616,8.66205799732638,91.7483705507213
2014-01-15,281,62903.5080160148,18904.3224134846,843.565969324757,202539.023652439,843.565969324757,2486191.76835145,8.65990159532743,91.6677095809127
2014-01-16,281,62923.244569776,18856.0682374539,845.441735682813,202611.428900174,845.441735682813,2486730.70827475,8.66003340764612,91.6597537325854
2014-01-17,281,62925.7438034811,18950.6298366948,846.310884769426,202630.407793013,846.310884769426,2486990.3632166,8.65974236970966,91.652039624427
2014-01-21,280,63061.0149757678,18797.6361970836,846.87885920178,203085.195115801,846.87885920178,2488137.99459871,8.64059888542913,91.2683884208975
2014-01-22,280,63072.8244699501,18802.1500830069,846.467180094347,203274.523356086,846.467180094347,2492418.65456303,8.64765993066684,91.4294615031
2014-01-23,280,63011.2023551655,18946.1864344373,846.361986475018,203291.260144325,846.361986475018,2493174.6930874,8.6500369007487,91.4797661261176
2014-01-24,280,62887.1096759041,18856.6995196733,844.291528111743,203204.878249475,844.291528111743,2492506.37623788,8.65535727171839,91.5663567282452
2014-01-27,280,62928.1334502879,18888.2342553947,846.339171104976,202881.539346948,846.339171104976,2484254.05813973,8.63559772460177,91.1629701433864
2014-01-28,278,63204.2761700967,18964.6252003904,846.961777224901,203602.400385632,846.961777224901,2484251.11153509,8.60450772662636,90.508967438336
2014-01-29,270,64520.4825972501,19898.9840580115,845.755513780951,206137.124244773,845.755513780951,2481768.95921279,8.50255757003006,88.2293831393517
2014-01-30,269,64527.6474181114,19773.6837759803,845.998428789947,206420.533722797,845.998428789947,2481393.01035857,8.49452104873566,88.0213305110588
2014-01-31,268,64672.7263389322,19638.8205096408,845.469529373158,206896.504279799,845.469529373158,2483888.21034287,8.48431292370004,87.8119014256374
2014-02-03,268,64711.1105277514,19675.3146233107,845.984788396628,206984.514172672,845.984788396628,2486873.80383027,8.49095279812348,87.9595798821414
2014-02-04,267,64985.5031135778,19767.0776796135,849.915594936134,207481.847451332,849.915594936134,2488694.35077502,8.47871684809908,87.6893736691885
2014-02-05,267,64912.8027121277,19772.183938633,848.562035574651,207253.154474672,848.562035574651,2485782.94437746,8.48288955642135,87.7302148365034
2014-02-06,267,64999.606359779,19831.5470893067,849.113459594162,207517.992229079,849.113459594162,2487722.54789031,8.47204851302834,87.5281697544361
2014-02-07,267,65070.5789641129,19933.1284311741,848.836797788497,207582.868499939,848.836797788497,2488171.39528181,8.46969439519714,87.4868086006381
2014-02-10,267,64879.3562321418,19873.4106897397,849.748640337579,207404.314933051,849.748640337579,2483187.25916774,8.45791884173851,87.2501337169838
2014-02-11,266,65393.0842409099,20319.7340988556,850.109631598322,207739.030216337,850.109631598322,2482537.82684373,8.44038715131457,86.8903864380629
2014-02-12,262,66196.9761984046,20432.5602447782,849.878275686267,209358.02110205,849.878275686267,2484739.34193008,8.37808261032551,85.6525488693375
2014-02-13,264,65754.430002844,20500.6177898039,849.88062729108,208515.165340485,849.88062729108,2484025.63852506,8.41370126269248,86.3516209986817
2014-02-14,264,65760.5973228992,20545.2489168583,854.525556698609,208453.255298445,854.525556698609,2481986.0698129,8.40708892261436,86.224194003554
2014-02-18,264,65771.6733399753,20462.4171815768,855.459978983438,208498.392252892,855.459978983438,2482865.67715079,8.40835374067759,86.2488851465852
2014-02-19,264,65789.9143056542,20475.7763947141,854.937627091222,208505.57422904,854.937627091222,2483378.13616987,8.41078124943433,86.2964753728209
2014-02-20,264,65737.2623446837,20506.9461971484,854.135246507651,208536.410710664,854.135246507651,2484635.31687363,8.41630178378586,86.3908946321173
2014-02-21,263,66068.5402298022,20552.1763004957,854.906187016791,209107.631906494,854.906187016791,2483731.13523302,8.3767602021407,85.6551033143783
2014-02-24,262,66644.775035682,20561.5218382238,855.418994038232,213108.182513023,855.418994038232,2565344.43733973,8.5221432987947,88.6484497109587
2014-02-25,262,66667.1929324194,20573.6074717333,855.599841309301,213642.236457336,855.599841309301,2577162.89270963,8.5448673115077,89.1234810893917
2014-02-26,262,66561.5611018505,20552.6010623956,855.765979416938,213472.732531804,855.765979416938,2574857.02863847,8.54676067179037,89.1393142397292
2014-02-27,262,66664.9773712249,20633.7011451561,855.754247101811,213636.627452636,855.754247101811,2574560.84943733,8.52747902497372,88.8123293602073
2014-02-28,262,66680.6013392306,20659.4573742118,855.847848619623,213804.580722017,855.847848619623,2578433.96305889,8.53551188638182,88.9798881943914
2014-03-03,262,66624.0892239749,20642.4646194139,855.864702889398,213527.180884755,855.864702889398,2573345.20728842,8.52929367481178,88.8391004166647
2014-03-04,262,66687.0779730747,20688.0545051722,868.191328101245,213515.764430749,868.191328101245,2572884.57267298,8.52902328428269,88.8332109523309
2014-03-05,262,66721.7696312576,20702.6693116263,822.600596411766,213486.489270456,822.600596411766,2571820.97224227,8.52496823908303,88.7585320863579
2014-03-06,262,66696.5282847732,20635.5292798218,822.277085705304,213567.958693542,822.277085705304,2573777.82399725,8.53207227036778,88.877332783939
2014-03-07,262,66703.6366755294,20630.3212188203,821.39093936677,213605.644536209,821.39093936677,2574489.26107923,8.53235853919348,88.8888177851293
2014-03-10,262,66703.6318084644,20636.6514460839,819.542185085437,213536.17015824,819.542185085437,2573404.51460301,8.5295421972355,88.8438892199665
2014-03-11,262,66700.9867328263,20633.7063223419,819.299907307135,213533.031998612,819.299907307135,2572290.44009292,8.52633528886619,88.7664796329912
2014-03-12,262,66693.4198596164,20611.2762472252,819.327730180091,213664.307862589,819.327730180091,2575712.4934406,8.53551581810231,88.9445312947014
2014-03-13,262,66683.703958923,20655.9725405588,819.923400931052,213770.994163875,819.923400931052,2579139.02758564,8.54599215461791,89.1514383815555
2014-03-14,262,66656.6529412369,20604.3687978888,819.203357693216,213769.786350405,819.203357693216,2579598.57671671,8.54740056141802,89.1857993765262
2014-03-17,263,66577.3863406408,20659.8030095144,819.94747628694,213003.619953844,819.94747628694,2570576.43818846,8.54393338479627,89.1110194007597
2014-03-18,263,66606.1698954271,20605.4749045061,819.452005130666,213055.042189611,819.452005130666,2571039.71965192,8.54147757876573,89.0722778482496
