gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
4194,2687,6089.2884423642,7173.89836,1611.864,3641.66224502222,176.9015115,14273.26208,-0.119217435633829,2.12220873609019
4199,4278,17717.4262877601,13227.810495,4953.91,10959.6190419612,3988.418,38711.116,0.55390638102448,1.69268643085657
4213,1616,9736.23753159035,9956.0259,7333.563,1417.97832589072,6755.63544,12866.7414,-0.158410249442113,1.81271549948684
4242,2466,10205.6736925193,8122.30611,4410.02496,6344.17343055112,2066.42925,35653.04358,1.58848483553875,5.04560363878965
4245,1412,6398.03291723796,6130.6107,6257.85696,3249.71916772251,1265.07096,17454.00552,0.747998985053755,2.95823074994288
4321,3068,33415.3996436734,34306.69552,32150.55515,7865.83927022673,17858.56548,49541.45016,-0.00445787189558159,1.96017360388177
4367,2668,11597.4307271983,10760.55036,9266.7418,5887.42094942818,4095.52596,33700.57056,0.991240848415068,3.73549591993594
4423,2013,4058.63099758569,3967.728,3343.41108,790.10653968375,2502.99962,6741.65484,0.548653163443879,3.03907894714136
4439,4871,138317.779243295,33669.64328,27037.0848,188714.007072774,5514.4944,642746.04944,1.34767208400822,3.09108944809069
4503,2534,354668.911172452,361063.549775,234480.3641,76705.2569257565,205291.77567,527172.2031,0.00987383096997426,2.01256964280212
4510,2572,3646.74670218118,2837.72402,1066.614,2705.96203433835,506.9927,11042.8266,1.18676403281673,3.33335669870123
4598,3646,27675.4614034805,27610.46785,25617.6295,9430.37900419835,10250.01185,52489.36986,0.411859640847231,2.78434554780985
4605,1682,3593.9370772176,3661.20493,1861.5234,984.102149118318,1523.24241,5369.66768,-0.259866362368262,1.98488027982462
4611,2042,13577.7281856072,13511.91707,5585.11648,5660.38074050578,2389.008,24490.648,0.017990853521843,1.90137706542984
4622,1505,733.994282710963,803.28051,724.9219,250.888956644432,37.7454,1129.0554,-1.24312404026523,3.79906853443024
4669,1495,3189.87370834556,2929.7052763594,1331.09442307692,1114.7220795739,1331.09442307692,6142.08376963351,0.727008421789495,2.54426144870129
4674,280,23172.2951172143,24153.79815,16181.8116,3635.24661189793,13554.3525,27752.73702,-0.742666528364817,2.43419752084119
4723,3092,56388.345763824,54847.68768,42917.82215,13629.2618526172,16113.96126,85970.76126,0.282415787492922,2.63857905500979
4818,355,9055.124096,8443.61472,3750.2684,2729.53598206511,3566.718,14849.57487,0.0807109462868675,2.51143241275647
4839,4836,40199.0986313039,39515.5734,39970.6788,15553.366701498,5320.68378,79675.87837,0.130098440190893,2.20881722771979
4844,1678,2618.38732715733,2254.59746,1347.53836,1143.44953385809,1025.65995,6781.61673,1.23344121499416,4.19848154987478
4864,275,306.206079727273,64.01204,47.70324,390.144908228654,17.93968,1277.81478,1.12437407178053,2.66972518642529
4885,2237,18938.3576891551,19316.99483,11276.04854,7336.66821648578,7324.4047,35934.38245,0.208783855835996,1.89897472303497
4941,4407,1997.4960198164,2009.232,1168.9757,583.45042785826,671.8296,3345.498,-0.0839913179219738,2.22907262949942
4990,4839,13604.9828076927,13582.11353,13081.72,4213.12548396268,2042.161,29819.5721,0.097464481185327,3.11396464640194
5046,2021,23961.2292880505,23077.29058,19482.204,6497.18182179776,10522.86121,37822.592,0.249652856441251,2.13497347410299
5047,3274,245966.22150118,265243.004075,98601.76821,115304.55470104,48021.53508,526353.43229,-0.00485070853039538,1.91579017917581
5048,155,1345.11866542122,1040,1014.8,415.751926033818,146.1,1828.7,-0.162051245946778,2.1551257799673
5071,3584,22125.5809504163,20044.13333,19221.40935,5891.05620270923,11096.1641,35654.8479,0.66772485231269,2.36186602402731
5073,1211,15534.9732531345,9839.75652,366.3372,18759.79485092,110.511722,66182.106,1.28676059264358,3.43744776508965
5087,1683,3591.5427045514,3230.09664,2789.54145,1140.64468790313,1432.43968,7462.16576,1.25938730621006,3.97175217233625
5135,653,494.231798162328,489.8605,484.52,26.1129504845446,429.846,630.5902,0.905494873680103,7.86353725079252
5179,1711,586.229506458212,606.30528,571.50408,105.692269024352,210.26624,870.94777,-0.607853635113017,3.78216625435636
5180,4599,340438.166951429,326302.19326,230597.3,63478.3420884461,197238.84,513981.303,0.59617813136244,2.83561642346982
5229,2701,6115.20013769715,5186.90775,3745.16868,3437.50877064896,1468.28428,15905.02043,1.10956550774584,3.8466587881201
5234,4850,4306.52242024161,3718.54768,1227.17,2258.55186871747,625.84599,9411.78,0.510066261711862,2.1385924953969
5301,759,825.321738603426,701.29488,407.7707,461.146587478115,145.82592,1726.51875,0.156720058044692,1.51603801867032
5439,3472,29345.0146229606,31405.23145,8029.76,12028.5048567166,3964.2876,62511.3704,-0.10698979421229,2.63384561325
5492,1375,5565.53081306182,5774.47328,2856.77685,1477.17189720411,2834.817,8989.82724,0.0904353642398183,2.13077845483665
5518,3365,4678.21978496535,4310.6462,2090.12569,1823.94581623813,1741.7884,10350.42885,0.889247910165137,3.33241303739133
5543,335,3447.18412813373,3483.02963,1873.6801,407.334858077441,1873.6801,4391.57872,-1.49111652431304,7.63389176799651
5568,291,100370.337160928,104681.45647,107250.70008,9521.53417380838,83928.0436,117649.1455,-0.31030697574496,1.48096850013464
5597,1702,10956.1996046969,9243.3047569519,8516.9454,4362.60589439684,5680.35692,22080.2784878161,1.28449194046944,3.3616665071156
5600,3405,4978.64632800412,4396.49418,206.3263,3323.10319161144,78.968175,14129.19108,0.668847315298481,2.55147190037441
5606,1234,63484.6358217408,55079.69196,109184.37792,28319.3560420094,15574.45516,127854.47036,0.61011345424928,2.37273849900579
5643,689,23770.433811016,23437.89568,21179.06865,2765.38280034857,16964.42536,30709.5706,0.318267797325629,2.80520397534215
5650,4869,225011.59356742,230984.9636,215054.8451,85520.4256814136,44593.54256,411748.212581,-0.281593128077953,2.52212535095139
5680,4787,114462.510887621,90320.68958,96332.9125,64296.5231249804,30518.244,314249.80008,0.990231757944319,3.07092780337631
5691,733,58093.5964941883,60549.324,51375.184,8548.29957942595,33375.52132,74824.28584,-0.878406079849522,3.22725645687568
5723,263,13082.789325019,13394.46381,14885.1276,1961.24404869481,7677.0012,16152.08427,-0.778505394008988,2.97394622515376
5742,4492,7776.49734810107,7869.068655,4031.378,3661.02601046554,1369.5075,16790.9469,0.448646494908033,2.33654787518362
5750,1722,934.074833147967,563.755635,159.5678,1020.97859511075,46.51308,4487.91444,1.80135543030344,5.17572792359866
5783,1413,3625.83163796879,3583.95584,2845.46367,526.006632507306,2344.05028,5018.39915,0.223157094783852,2.26458233134118
5860,266,11555.6271166541,11572.46087,11473.2968,668.149883139745,9790.89399,13229.4344,-0.0280508498306983,2.74149837692454
5862,1703,2896.9917771697,3074.93604,2703.32403,647.525189492989,1261.05088,4072.94125,-0.702042089489953,2.60786505643901
5878,1389,24890.5689895608,25423.0636,23330.37855,4171.35344417337,13073.13135,33122.1,-0.711029561870472,3.07302844990615
