datadate,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2017-03-31,169,75664.4542395022,27694.96837,841.71482,139465.455442826,841.71482,1130860.92609,4.48050381033962,28.0391910467277
2017-04-03,169,75482.158158768,27781.187868,849.90743,139397.12624505,849.90743,1135979.79684,4.50173962435166,28.3310442944124
2017-04-04,169,75548.2381338268,27543.423432,853.54859,139876.469166914,853.54859,1142736.70623,4.51839707974453,28.5216054017985
2017-04-05,169,75211.942149045,27578.156256,842.32168,139457.755989328,842.32168,1139255.87412,4.53055417468906,28.6319745896901
2017-04-06,169,75193.0981878962,27331.916526,847.47999,139371.671873414,847.47999,1130451.41643,4.51379508359164,28.3195024629353
2017-04-07,168,75696.4816156483,27587.8247995,845.35598,139803.717946193,845.35598,1129632.39711,4.49140128218572,28.0402288388056
2017-04-10,169,75329.3169354809,27712.77467,847.47999,139475.780421648,847.47999,1122465.97806,4.48069083228081,27.8525667517999
2017-04-11,169,75468.4911489442,28308.23162,859.61719,139641.873331526,859.61719,1112842.50105,4.44330799196238,27.3152439549614
2017-04-12,171,74431.151029335,26964.59454,853.54859,138792.346493027,853.54859,1117551.86214,4.49870665588716,27.9894850338832
2017-04-13,171,73772.409087462,26800.33278,837.4668,137151.230965483,837.4668,1110794.95275,4.50485689084516,28.1931071130565
2017-04-17,169,69213.2399711974,26265.2732,841.41139,126000.863440138,841.41139,1116732.84282,4.87308875027323,34.4896166494472
2017-04-18,169,73659.7536098409,26882.46366,843.5354,137230.84023922,843.5354,1101785.74023,4.47582504507148,27.7329024940532
2017-04-19,170,72884.5987886167,26430.679775,843.5354,135712.916469181,843.5354,1096257.35982,4.49370209480107,28.0229702840386
2017-04-20,169,73085.8760251716,26130.0401,859.31376,136691.899874042,859.31376,1103833.28853,4.49994532816433,28.087444459589
2017-04-21,169,73007.3660969989,25964.7552,837.16337,136810.572176577,837.16337,1103014.26921,4.49253741975724,27.9515512898991
2017-04-24,168,74305.058606546,26942.26026,849.604,137750.265422844,849.604,1090319.46975,4.41394171755184,26.9450194103624
