gvkey,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
15613,1510,19179.1182132072,19833.9888594256,2727.00759806338,3211.92072114223,2727.00759806338,27285.4771964052,-0.132067745725978,2.91070706563022
15617,1733,82483.2822533477,75557.1185225199,21985.7627074344,24509.7781342283,21985.7627074344,132960.149407634,0.343108017504274,1.83503908127379
15620,507,7782.01665877074,7651.4703427401,4135.38560107957,1174.68965307063,4135.38560107957,15473.3529927811,2.28578696933477,15.4038294688896
15633,1140,47092.5989082727,40072.0549333396,19091.0018734426,27353.227624136,19091.0018734426,125859.463267276,1.56933450870041,4.47633817789726
15634,1561,249854.547452751,89618.9111267774,3665.91752441251,280282.709047315,3665.91752441251,1290734.19608521,0.997061784937727,2.58609457962542
15659,3951,20618.3160871633,21041.2849838807,1125.89931618899,9063.32678226314,1125.89931618899,47474.8271581142,-0.54852015523025,3.40271740034336
15668,4661,17250.9914016295,12490.6442546973,969.2745975982,12634.6362081312,969.2745975982,46528.2877366192,0.556567616191416,1.85707287140557
15679,1510,30687.9686253135,28997.7195786668,12775.4047923542,6915.5327366943,12775.4047923542,45416.0665139396,0.482104148308611,2.20537320401846
15704,871,4179.5115822001,4044.32160506032,3068.00891949878,1170.88396120902,3068.00891949878,16291.4734126505,6.37908707152642,53.5443241394404
15706,789,23828.4657390188,20668.0459126104,6916.26367398325,9995.31421637778,6916.26367398325,72807.2859659951,0.833450527852906,3.00496502132024
15708,2180,1422.93833807637,1344.14883411975,532.002379411316,660.42772174369,532.002379411316,4309.16598703034,0.737785119960441,2.58912280047834
15724,3451,57195.8567273895,53603.8110043866,22335.4044810024,16923.8719487193,22335.4044810024,123201.856726776,1.29528853696927,5.13728046796811
15743,1475,76198.5965428071,69568.1214244538,27010.2217706398,19816.3925465263,27010.2217706398,122861.951506374,0.456007150695229,2.04251377635193
15782,838,61816.5514265444,70630.6960937996,11849.812344795,18012.9300165325,11849.812344795,91570.2481942736,-0.648065783378615,2.04513698952288
15889,296,44075.5531187698,44878.2857372739,12391.7250497597,5061.94459761462,12391.7250497597,58232.726968422,-1.05034133512294,7.13560019655683
15929,1182,128650.160813036,120811.86385089,18838.0720178092,29586.8357581199,18838.0720178092,205909.87555301,0.427960270831803,2.17053381485136
16428,1600,3365.07569670374,3019.41060753294,1598.77925488249,1112.42105132354,1598.77925488249,6428.57114194855,0.608078116143049,2.09237217263632
16477,1650,1618.71467160078,1661.8310295451,387.399574572357,387.623007014129,387.399574572357,2734.35460902921,-0.807982202352935,3.83369834063212
16478,394,4601.44646919363,3657.43345189203,79.6276451978954,2314.53121856463,79.6276451978954,11530.4206967378,1.59649898053038,4.46145642574015
16560,1570,1117.39735198327,939.424572073066,193.426416191803,739.135456893026,193.426416191803,5843.31336804345,2.48133261314916,12.7888102264502
16590,1334,767.661345365762,565.020633043729,242.389713541428,453.893154330274,242.389713541428,1790.56978398278,1.08673217802027,2.55799362032813
16603,1633,16417.4837035961,13112.098193867,3509.99080586706,7890.74756922512,3509.99080586706,39957.9279125097,1.21648240330615,3.60242634907171
17420,1859,5476.82507555581,5569.36075617032,1689.33516028748,3000.23494909879,1689.33516028748,13898.4537225979,0.318703665238675,1.72819891537723
17436,2568,28542.9277545988,28806.3741039116,13416.2279259629,6136.92888611317,13416.2279259629,45073.8768275882,-0.320807082867436,3.17769400381643
17452,2821,4554.77797196931,4434.47787690645,3245.71650924325,639.356746325864,3245.71650924325,6904.72531890656,0.786172087122581,3.86951427009189
17828,2370,52664.8632435644,52077.0779807708,33400.0264252983,10709.4446328665,33400.0264252983,93028.719397373,0.956052936241015,4.22662601524362
18466,883,5502.13259191768,5375.2897238569,96.0774936652469,934.571073195296,96.0774936652469,8226.68254518487,0.370393477693788,3.39399432213393
18467,4829,21186.2900879985,21704.553647477,3917.30731831952,7270.7459394531,3917.30731831952,58157.6840456199,-0.401694624775774,3.41103830894548
18636,1015,13108.2124862773,12442.610086443,2689.22156011768,5159.25493319507,2689.22156011768,24700.7768086039,0.503500972033546,2.21014459818089
18729,3192,6668.14263376216,6682.8422439343,3772.07801492158,1286.92079636264,3772.07801492158,16337.9917167345,0.498604112125172,4.18835018535848
19113,4852,38061.6952637253,37566.1708433246,8248.77709676271,10247.4505231066,8248.77709676271,72240.6751537427,0.529646094364602,3.23928976716205
19151,573,44021.3796964061,43623.4315263663,32629.3001577127,4363.18127261114,32629.3001577127,80760.0104642626,3.0609409741041,22.5341223643437
19349,4786,43396.9470743791,39755.1398983558,24133.8023324456,11917.2377786408,24133.8023324456,91404.8401986558,0.435350931737754,2.116188787004
19398,1368,232.133092732431,231.298971488724,138.666598333423,46.4400635153399,138.666598333423,458.289366719487,0.138910472121069,3.23667014990889
19439,973,12.2677351964094,4.12793216306278,0.81996370470478,17.4423654514943,0.81996370470478,75.2881950055933,1.97255958269478,5.81767685309247
19565,4521,34906.1964587448,26431.5608491566,757.948083486883,29566.5056341251,757.948083486883,173012.662439386,2.22996323454216,8.44377307741523
19625,1003,8939.15180718351,8978.45918935866,1680.2515265009,3278.39025716299,1680.2515265009,24561.6115652527,0.75420601687133,3.36997749394087
19661,4346,98457.3859752088,95581.4132610537,52627.3775797237,21422.1389373424,52627.3775797237,175325.104720523,0.518137699385943,3.15567936940553
19824,3874,4443.20951078802,4250.29032664899,1682.38005767273,1516.05616465694,1682.38005767273,10678.6088569834,0.605209847529929,2.94057324752944
20067,2899,1850.62720615117,1660.9383583892,841.701686559343,691.10624036023,841.701686559343,5443.60940450268,1.0329564034586,3.71039302145992
20779,3508,29114.5406865287,25500.7394450568,4398.76375407628,11724.0230289826,4398.76375407628,62048.9623112714,0.895657468588854,3.32032714567669
21487,1030,595.576766723039,455.072876200199,211.986622003724,456.109374149539,211.986622003724,2481.99741919867,2.77728694262629,10.2334812584476
22260,2582,6652.67535184478,5386.94240591327,3570.49906900929,2534.99639410891,3570.49906900929,12696.5602219498,0.361367490895751,1.5994337536528
23220,283,1127.90613616707,1096.03298063107,448.404686890873,179.513801745388,448.404686890873,1929.87375583411,1.00798609029337,6.01861637220279
23667,850,9824.44738351664,9355.66177288034,207.191432979516,2245.350854393,207.191432979516,17789.6965801922,1.03265348022724,5.86948255116132
23671,4866,20837.7193543194,17184.66376174,6941.07627234752,11271.6244944647,6941.07627234752,76105.3263135393,1.70928495791524,5.70735431446945
23714,732,3514.0012158587,3584.74488403276,523.9892921964,683.221628276427,523.9892921964,5871.2554157448,-1.42808440193499,7.1387134478832
23809,3138,2509.22532734681,2504.79104275423,229.54616481488,775.418320976212,229.54616481488,5440.1712258146,0.196634449885893,1.90066858171731
23877,1044,2172.06849608929,2109.44884909984,1359.76563995013,327.891842130722,1359.76563995013,3161.78232329107,0.516906640931494,2.61058017797956
23978,4421,4302.82344471952,4077.4987482361,1021.40727876213,2008.22256515144,1021.40727876213,11906.2735418854,0.722266823497374,3.49776758513416
23988,718,356.346487870465,317.57714627384,212.41355704559,94.906774921642,212.41355704559,651.382126581023,1.39090967796841,3.97779677351388
24032,810,678.862945519475,646.123337163481,478.546635072304,129.381724055939,478.546635072304,947.289432438215,0.31693127158222,1.73509022685015
24216,1884,6042.80429358364,5803.46705707398,999.123946206471,1526.83176112849,999.123946206471,12279.2838912265,0.0979576647472692,3.47099026012089
24287,1964,3206.81178906162,2945.39864176035,695.509628096739,1094.79828331469,695.509628096739,7415.99969417217,0.417884084933125,3.37232449039207
24318,330,4989.52244648166,4962.91126568501,3488.78865131765,284.250734737829,3488.78865131765,5854.82828925029,-1.13069500473748,9.38824695853178
24370,1749,2176.31285335999,2301.52605085763,142.569317303915,1135.45544887938,142.569317303915,5614.52764621032,0.281462402904585,2.58982165236159
24625,4222,49599.9290393716,51959.1839597822,10593.0524348178,14096.9631026073,10593.0524348178,79780.4402608773,-0.568652754595302,2.39352084227682
