gvkey,GroupCount,mean_F,median_F,mode_F,std_F,min_F,max_F,skewness_F,kurtosis_F
11017,1755,1119.07309287749,1020.6585,1634.1075,285.206318553979,708.8125,1741.305,0.64679985450942,2.20498557098254
11032,2053,2075.3325433512,1545.037,3119.1285,907.401003375245,1008.951,3119.1285,0.0214840051910384,1.05055952583733
11060,4731,2798.54953117734,2268.2935,4273.3665,1200.77209258458,1218.016,6040.28,0.617968286633652,2.33399828568162
11096,1513,2003.49396034369,2190.224,2372.634,377.933355777276,1105.7875,2657.341,-0.439513180154113,2.25335681579142
11217,1589,21279.9482391441,20277.2085,16372.1335,5407.20722364126,13531.57,29410.932,0.343250587095437,1.51358676134888
11220,2162,5625.48263760408,6114.093,3512.1985,1770.17961313686,2269.742,8009.4315,-0.60366091468679,1.93064444227935
11259,4199,76052.020004763,80435,81738.5,20902.9573427288,37212,105471.5,-0.553084307000832,1.96875684814552
11264,296,8743.44239864865,9341.5,9341.5,1496.67522468563,5006.55,9874.5,-1.90388833492059,5.10835762156298
11340,729,1407.349760631,1598.6135,1157.1205,316.094459095614,840.396,1868.8245,-0.265755366438266,1.74420828315217
11446,3243,3773.74955319149,3548.5,3233.5,628.207979564632,2573.5935,5136.5,0.887948044041974,2.5219910340994
11456,4845,7318.21475748194,6038.5,10561.5,2934.65454082896,4246,12854,0.638085381943539,1.82203526481514
11465,4846,8408.00350804787,8461,4252.5,2628.96665212506,4091.5,13141,-0.103596909797176,2.01415717000653
11506,4819,14490.0057169537,15025.1,21590.7,4306.81536460355,7547,24739.1,0.205932575563843,1.9863926854332
11535,756,1139.84185846561,1343.776,1196.2315,297.696420744795,683.345,1422.129,-0.73759420361461,1.65899579967451
11550,1630,4873.86963190184,5049.4,4650.25,570.502906786997,3763.2,5546.75,-0.47360880105997,1.84126881145111
11554,1305,2837.67667164751,2907.8005,3063.85,289.895120681931,2374.3,3467.62,0.164676090140904,1.84514747786329
11600,1648,678.869438410193,696.709,539.4465,115.415168732656,464.4945,942.637,-0.0394623090109777,2.54095531837392
11636,707,10812.2355021216,10769.5,10806.5,1179.82731759647,9411.5,13689.5,0.829474635937227,2.95498707062551
11672,3449,3745.18542722527,3843.8235,2126.005,1071.45952380416,1785.0275,6186.025,0.097913305484482,2.41962926739124
11729,1346,6991.72741456167,7153.35,7547.15,756.278885711342,5617.95,8147.45,-0.35785748774366,1.84036099865205
11749,2887,3067.82615067545,3172.591,1913.294,1008.29018267572,1589.9835,5194.9035,0.356443068861644,2.12030076404415
11923,3674,14780.3246325531,17147,6754,7103.00101551972,5009.4,33791.5,0.230823536972488,2.30741505821593
12124,4872,669529.887520525,667562.5,522762,141813.024638853,385974.5,1051493.5,0.649643650487465,3.65693780278503
12141,3818,59814.1754845469,44008.5,19788.5,35707.737504163,16377,127658.5,0.642229032510763,1.8381596347288
12142,3610,30249.1947368421,24769.5,9821,15478.0998608015,6397,61077,0.38404234186992,1.83525477991342
12338,1243,1596.42479002414,1290.811,1360.8705,697.685905650888,639.0605,2664.8795,0.228368685331665,1.37262069679736
12368,3146,7151.35718563251,7754.63,4003.676,1872.68046691743,3158.63,10615.6165,-0.606706674119184,2.45015799879179
12383,1619,5621.28742896849,5099.7055,4613.223,2741.46485716957,3842.7875,18644.884,4.19297255196933,20.1873909460885
12384,1802,127853.816870144,129278,132711,14697.3105158198,98539.5,175684.5,0.45391195354614,5.18170340716988
